clean_label,SNOMED_ID,UBERON_ID,FMA_ID,Definition,synonyms,Source,fiber_category,atlas_composite_flag,laterality,Ontology_cross_reference
ventral amygdalofugal pathway,,UBERON:0002745,fma61977,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",projectiones ventrales amygdalae ; ventral amygdalofugal projection,Bullock_2022,limbic_subcortical,False,bilateral,"BAMS:vaf ; BIRNLEX:1563 ; FMA:61977 ; UMLS:C0175242 ; neuronames:287
"
inferior longitudinal fasciculus,SNOMED:369085008,UBERON:0034743,fma77632,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,ILF ; external sagittal stratum ; fasciculus fronto-occipitalis inferior ; fasciculus longitudinalis inferior ; ilf,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443
superior longitudinal fasciculus,SNOMED:369082006,UBERON:0022246,fma77631,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",SLF ; superior longitudinal fascicle,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; Pestilli_Brainlife,association,False,bilateral,DHBA:10592 ; FMA:77631 ; HBA:9281 ; SCTID:369082006 ; Wikipedia:Superior_longitudinal_fasciculus ; neuronames:2080
callosum forceps minor,SNOMED:42932006,UBERON:0034678,fma61944,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,"Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor ; anterior forceps ; anterior forceps of corpus callosum ; anterior forceps of the corpus callosum ; corpus callosum, anterior forceps ; corpus callosum, anterior forceps (Arnold) ; corpus callosum, forceps minor ; forceps frontalis ; forceps minor ; forceps minor corporis callosi ; forceps minor of corpus callosum ; forceps minor of the corpus callosum ; frontal forceps ; minor forceps",AFQ ; JHU_Tractography ; XTRACT,commissural,False,midline,DHBA:12024 ; FMA:61944 ; SCTID:369199005 ; neuronames:192
callosum forceps major,SNOMED:80049006,UBERON:0034676,fma61949,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,"Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major ; ccs-ma ; corpus callosum, forceps major ; corpus callosum, posterior forceps (Arnold) ; forceps major ; forceps major corporis callosi ; forceps major of corpus callosum ; forceps major of the corpus callosum ; forceps occipitalis ; major forceps ; occipital forceps ; posterior forceps ; posterior forceps of corpus callosum ; posterior forceps of the corpus callosum",AFQ ; JHU_Tractography ; XTRACT,commissural,False,midline,DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197
tapetum,SNOMED:279312006,UBERON:0000373,fma77208,Callosal fibers from the body and splenium of the corpus callosum that sweep laterally to form the roof and lateral walls of the occipital and temporal horns of the lateral ventricles; lies immediately adjacent to the ependyma of the ventricle.,TAP ; tapetum ; tapetum corporis callosi,ICBM-DTI-81,commissural,False,bilateral,DHBA:12027 ; FMA:77208 ; HBA:265504966 ; SCTID:279312006 ; Wikipedia:Tapetum_of_corpus_callosum ; neuronames:1596
anterior thalamic radiation,,UBERON:0034746,fma76976,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,ATR ; anterior radiation of thalamus ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiatio thalami anterior ; radiationes thalamicae anteriores,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; XTRACT,projection,False,bilateral,DHBA:12043 ; FMA:76976 ; neuronames:1726
pontine crossing tract,,UBERON:0022421,,Transverse pontine fibers crossing the midline within the middle cerebellar peduncle; these fibers originate from the pontine nuclei and project to the contralateral cerebellum. In DTI they are identifiable as the decussating component of the MCP and cannot be fully separated from the surrounding peduncle at standard resolution.,PCT ; pontocerebellar tract ; ponto-cerbellar tract ; fibrae pontocerebellaris ; pontocerebellar fibers ; tractus pontocerebellaris,ICBM-DTI-81,commissural,False,midline,DHBA:12769 ; SCTID:360457005 ; Wikipedia:Pontocerebellar_fibers ; neuronames:1345
acoustic radiation,SNOMED:410726006,UBERON:0022262,fma62413,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,Acoustic radiations ; Acoustic radiations structure ; Auditory radiations ; Fibrae geniculotemporales ; Geniculotemporal tract ; Radiatio acustica; auditory radiation,TRACULA ; MGH_HCP ; XTRACT,association,False,bilateral,
accumbofrontal tract,,,,connection of the orbitofrontal cortex (OFC) to the nucleus accumbens (NAcc),,,,,,
arcuate fasciculus,SNOMED:727100000,UBERON:0035937,fma276650,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,AF ; AR ; ARF ; arcuate fascicle ; arcuate fasciculus ; cerebral arcuate fasciculus ; fasciculus arcuatus ; fibrae arcuatae cerebri,AFQ ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,
posterior arcuate fasciculus,,,,The posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule,pArc,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,
cingulum bundle dorsal,,,,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,CBD,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT,association,False,bilateral,
cingulum bundle ventral,,,,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,CBV,TRACULA ; MGH_HCP ; Bullock_2022,association,False,bilateral,
cingulum cingulate,,,,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,CCg,AFQ ; ICBM-DTI-81 ; Bullock_2022,association,False,bilateral,
cingulum hippocampus,,,,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,CHippo,AFQ ; ICBM-DTI-81 ; Bullock_2022,association,False,bilateral,
cingulum subgenual,,,,"The ventral-most component of the cingulum bundle curving around the genu of the corpus callosum and extending posteriorly against the subgenual cingulate cortex; carries fibers connecting orbitofrontal and subgenual cingulate cortex with the amygdala, hippocampus and thalamus. A primary target of deep brain stimulation for treatment-resistant major depressive disorder (Mayberg subcallosal cingulate target). Described as a distinct subdivision by Heilbronner and Haber (2014) and Bullock et al. (2022).",CBS ; SCB,Bullock_2022,association,False,bilateral,
cingulum periGenual,,,,The peri-genual subsection of the cingulum bundle curving around the genu of the corpus callosum; connects the subgenual and anterior cingulate cortex with the orbitofrontal cortex and anterior thalamic nuclei. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Overlaps anatomically with the subgenual cingulum; XTRACT defines the boundary by waypoint ROIs at the level of the genu.,CBP,XTRACT,association,False,bilateral,
cingulum temporal,,,,"The temporal subsection of the cingulum bundle running along the parahippocampal gyrus into the temporal lobe; connects posterior cingulate and retrosplenial cortex with the temporal pole, entorhinal cortex, and perirhinal cortex. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Distinguished from the ventral/hippocampal cingulum by its more anterior temporal termination pattern.",CBT,XTRACT,association,False,bilateral,
corpus callosum anterior midbody,,,,Anterior portion of the corpus callosum body at the level of the primary motor cortex,CC_4,TractSeg,commissural,False,midline,
corpus callosum body,SNOMED:279307005,UBERON:0015510,fma61947,"The central, largest portion of the corpus callosum between the genu and splenium; fibers pass laterally through the corona radiata to connect frontal, parietal and temporal cortices of the two hemispheres","BCC ; CC-BODY ; corpus callosum body ; truncus corporis callosi
",ICBM-DTI-81,commissural,True,midline,DHBA:10564 ; FMA:61947 ; HBA:9224 ; NCIT:C32216 ; NeuroNamesCNID:177 ; SCTID:279307005 ; UMLS:C0152320 ; neuronames:195
corpus callosum body central,,,,Central segment of the corpus callosum body,CC-BODY-C,TRACULA ; ICBM-DTI-81 ; MGH_HCP,commissural,False,midline,
corpus callosum body parietal,,,,Parietal segment of the corpus callosum body,CC-BODY-P,TRACULA ; MGH_HCP,commissural,False,midline,
corpus callosum body prefrontal,,,,Prefrontal segment of the corpus callosum body,CC-BODY-PF,TRACULA ; MGH_HCP,commissural,False,midline,
corpus callosum body premotor,,,,Premotor segment of the corpus callosum body,CC-BODY-PM,TRACULA ; MGH_HCP,commissural,False,midline,
corpus callosum body temporal,,,,Temporal segment of the corpus callosum body,CC-BODY-T,TRACULA ; MGH_HCP,commissural,False,midline,
corpus callosum genu,SNOMED:279310003,UBERON:0015599,fma61946,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",Entire genu of corpus callosum,TractSeg ; ICBM-DTI-81 ; MGH_HCP,commissural,False,midline,
corpus callosum isthmus,,UBERON:0009835,,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,CC_6,TractSeg,commissural,False,midline,
corpus callosum posterior midbody,,,,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,CC_5,TractSeg,commissural,False,midline,
corpus callosum rostral body,,,,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,CC_3,TractSeg,commissural,False,midline,
corpus callosum rostrum,SNOMED:279311004,UBERON:0015703,fma61945,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,CC_1,TractSeg ; MGH_HCP,commissural,False,midline,
corpus callosum splenium,SNOMED:369085008,UBERON:0022430,fma61948,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,CC_7,TractSeg ; ICBM-DTI-81 ; MGH_HCP,commissural,False,midline,
Radiation of corpus callosum,SNOMED:279308000,UBERON:0035924,fma77693,,,,,,,
corticopontine tract,SNOMED:362408003,UBERON:0022271,fma224856,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,CPT ; FPT ; cortico-pontine fibers ; corticopontine fibers ; tractus corticopontinus ; fibrae corticopontinae,DSI_Studio ; Bullock_2022,projection,False,bilateral,
corticostriatal tract,,,,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",CStr,DSI_Studio,projection,False,bilateral,
dentato-rubro-thalamic tract,SNOMED:1296813009,UBERON:0002594,fma72462,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,DRTT ; tractus dentatothalamicus ; dentatothalamic fibers ; dentatothalamic tract,DSI_Studio ; MGH_HCP,cerebellar,False,bilateral,
fornix,SNOMED:87463005,UBERON:0000022,UBERON:0000052,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",FX,TractSeg ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,limbic_subcortical,False,mixed,
fornix cres stria terminalis,,,,A ICBM-DTI-81 atlas label covering fibers of the fimbria-fornix and stria terminalis that cannot be resolved as separate structures at standard DTI resolution. The stria terminalis runs along the medial aspect of the caudate nucleus carrying amygdalofugal fibers to the hypothalamus and bed nucleus of the stria terminalis. Labeled as a combined entry in ICBM-DTI-81 because both structures share the same spatial volume at 1-2mm isotropic resolution.,FX/ST ; ST,ICBM-DTI-81,association,True,bilateral,
frontal aslant tract,,,,"Short frontal association tract connecting the supplementary motor area complex (SMA, pre-SMA) and lateral superior frontal gyrus to the pars opercularis and pars triangularis of the inferior frontal gyrus and the anterior insula (middle insular area); runs in an oblique aslant orientation within the frontal lobe, medial to SLF II and lateral to the frontostriatal tract. Involved in speech initiation and inhibition, verbal fluency, lexical decision, working memory, visuo-motor integration, and inhibitory motor control. Left-lateralized in most right-handed adults. Insula termination via the salience network node at the fronto-insular cortex established by La Corte et al. 2021 (PMC7959833).",FAT,TRACULA ; MGH_HCP ; XTRACT ; La_Corte_2021_PMC7959833,association,False,bilateral,
fronto-pontine tract,SNOMED:1296815002,,fma75223,,FPT,TractSeg ; MGH_HCP ; Bullock_2022,projection,False,bilateral,
inferior fronto-occipital fasciculus,SNOMED:369087000,UBERON:0034753,fma77633,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,IFO ; IFOF,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,
anterior limb of internal capsule,SNOMED:3003007,UBERON:0014526,fma61952,"The anterior subdivision of the internal capsule lying between the head of the caudate nucleus and the anterior lentiform nucleus; carries frontopontine fibers, corticostriatal fibers, and the anterior thalamic radiation connecting mediodorsal and anterior thalamic nuclei with prefrontal and anterior cingulate cortex. A major target for deep brain stimulation and capsulotomy in treatment-resistant OCD and depression.",ALIC,ICBM-DTI-81 ; Bullock_2022,projection,False,bilateral,
posterior limb of internal capsule,SNOMED:54728004,UBERON:0014527,fma61954,"The posterior subdivision of the internal capsule lying between the thalamus and the posterior lentiform nucleus; carries the corticospinal and corticobulbar tracts, superior thalamic radiation, and parietopontine and temporopontine fibers. Damage produces contralateral hemiplegia; the posterior limb is the most clinically critical segment of the internal capsule.",PLIC,ICBM-DTI-81 ; Bullock_2022,projection,False,bilateral,
retrolenticular part of internal capsule,,UBERON:0034749,fma61957,"The portion of the internal capsule posterior to the lentiform nucleus; carries the posterior thalamic radiation including the optic radiation from the lateral geniculate nucleus, and parietopontine and occipito-pontine fibers. Damage produces contralateral hemianopia.",RLIC,ICBM-DTI-81,projection,False,bilateral,
medial forebrain bundle,,UBERON:0001910,fma62064,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",,Bullock_2022,limbic_subcortical,False,bilateral,
medial lemniscus,SNOMED:30114003,UBERON:0003002,fma83675,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,Lemniscus medialis ; Medial lemniscus ; Medial lemniscus structure,DSI_Studio ; ICBM-DTI-81,brainstem_intrinsic,False,bilateral,
cerebral crus,,UBERON:0002631,fma72464,"anterior, superficial portion of the cerebral peduncle located in the midbrain. It consists entirely of white matter tracts descending from the cerebral cortex",crus cerebri ; crura cerebri ; base of cerebral peduncle,,,,,
cerebral peduncle,SNOMED:362391000,UBERON:0002623,fma62394,"paired, pillar-like structures in the midbrain that connect the cerebrum to the brainstem. They carry major descending motor pathways (like the corticospinal tract).",Entire cerebral peduncle ; Basis pedunculi  ; peduncle of midbrain ; pedunculus cerebri ; pedunculus cerebralis ; pedunculi cerebri,ICBM-DTI-81,projection,False,bilateral,
inferior cerebellar peduncle,SNOMED:362418008,UBERON:0002163,fma72615,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,ICP,TractSeg ; ICBM-DTI-81,cerebellar,False,bilateral,
middle cerebellar peduncle,SNOMED:279219000,UBERON:0002152,fma72515,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,MCP,TractSeg ; ICBM-DTI-81 ; XTRACT,cerebellar,False,bilateral,
superior cerebellar peduncle,SNOMED:279218008,UBERON:0002150,fma72495,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,SCP,TractSeg ; ICBM-DTI-81,cerebellar,False,bilateral,
middle longitudinal fasciculus,,,,Association bundle connecting the superior temporal gyrus with the parietal lobe; involved in auditory and language processing,MLF ; MdLF,TractSeg ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,
middle longitudinal fasciculus angular,,,,The angular gyrus subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the inferior parietal lobule (angular gyrus). Identified as a distinct component in Bullock et al. 2019 and Makris et al. 2013. Corresponds to the inferior parietal termination consistent with monkey tract-tracing data.,MdLF-Ang,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,
middle longitudinal fasciculus superior parietal,,,,"The superior parietal lobule subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the superior parietal lobule. Described in Bullock et al. 2019 and Makris et al. 2013. This component is debated: monkey tract-tracing does not show strong superior temporal to superior parietal connectivity, raising the possibility of a human-specific pathway or tractography false positive.",MdLF-SPL,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,
optic radiation,SNOMED:280953008,UBERON:0022264,fma61941,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,Geniculocalcarine tract ; Optic radiation ; Structure of optic radiation,TractSeg ; MGH_HCP ; XTRACT,projection,False,bilateral,
parieto-occipital pontine tract,,,,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,POPT,TractSeg ; MGH_HCP ; Bullock_2022,projection,False,bilateral,
reticulospinal tract,SNOMED:1296557000,UBERON:0022943,,The reticulospinal tract (or anterior reticulospinal tract) is an extrapyramidal motor tract which travels from the reticular formation,RET,DSI_Studio,projection,False,bilateral,
medulla reticulospinal tract,SNOMED:1296563009  ,UBERON:0004173,fma73989,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,Medullary reticulospinal tract,DSI_Studio,projection,False,bilateral,
pontine reticulospinal tract,,,fma73989,Axon tract that carries efferent (outgoing) action potentials from the cell body in the pons towards target cells in the spinal cord.,"pons reticulospinal tract
",DSI_Studio,projection,False,bilateral,
striato-fronto-orbital tract,,,,Corticostriatal fibers between orbitofrontal cortex and striatum,ST_FO,TractSeg,projection,False,bilateral,
striato-occipital tract,,,,Corticostriatal fibers between occipital cortex and striatum,ST_OCC,TractSeg,projection,False,bilateral,
striato-parietal tract,,,,Corticostriatal fibers between parietal cortex and striatum,ST_PAR,TractSeg,projection,False,bilateral,
striato-postcentral tract,,,,Corticostriatal fibers between somatosensory cortex and striatum,ST_POSTC,TractSeg,projection,False,bilateral,
striato-precentral tract,,,,Corticostriatal fibers between primary motor cortex and striatum,ST_PREC,TractSeg,projection,False,bilateral,
striato-prefrontal tract,,,,Corticostriatal fibers between prefrontal cortex and striatum,ST_PREF,TractSeg,projection,False,bilateral,
striato-premotor tract,,,,Corticostriatal fibers between premotor cortex and striatum,ST_PREM,TractSeg,projection,False,bilateral,
superior longitudinal fasciculus I,,,,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,SLF-I ; SLF_I,TractSeg ; Bullock_2022 ; XTRACT,association,False,bilateral,
superior longitudinal fasciculus II,,,,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,SLF-II ; SLF_II,TractSeg ; Bullock_2022 ; XTRACT,association,False,bilateral,
superior longitudinal fasciculus III,,,,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,SLF-III ; SLF_III,TractSeg ; Bullock_2022 ; XTRACT,association,False,bilateral,
superior thalamic radiation,SNOMED:369211000,,,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,STR,TractSeg ; XTRACT,projection,False,bilateral,
temporo-parietal connection to superior parietal lobule,,,,Association fibers connecting superior temporal cortex with the superior parietal lobule,TP-SPL,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,
thalamo-occipital tract,,,,Thalamocortical fibers connecting the pulvinar with occipital cortex,T_OCC,TractSeg,projection,False,bilateral,
thalamo-parietal tract,,,,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,T_PAR,TractSeg,projection,False,bilateral,
thalamo-postcentral tract,,,,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,T_POSTC,TractSeg,projection,False,bilateral,
thalamo-precentral tract,,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,T_PREC,TractSeg,projection,False,bilateral,
