clean_label,SNOMED_ID,UBERON_ID,FMA_ID,Definition,synonyms,Source,fiber_category,atlas_composite_flag,laterality,Ontology_cross_reference,uberon_synonyms_related,snomed_id_validated
superior longitudinal fasciculus,SNOMED:369082006,UBERON:0022246,fma77631,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",SLF; superior longitudinal fascicle,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; Pestilli_Brainlife,association,False,bilateral,DHBA:10592; FMA:77631; HBA:9281; SCTID:369082006; Wikipedia:Superior_longitudinal_fasciculus; neuronames:2080,superior longitudinal fascicle,True
callosum forceps minor,SNOMED:42932006,UBERON:0034678,fma61944,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,"Anterior forceps; Forceps minor; Parietal radiation of corpus callosum; Structure of forceps minor; anterior forceps; anterior forceps of corpus callosum; anterior forceps of the corpus callosum; corpus callosum, anterior forceps; corpus callosum, anterior forceps (Arnold); corpus callosum, forceps minor; forceps frontalis; forceps minor; forceps minor corporis callosi; forceps minor of corpus callosum; forceps minor of the corpus callosum; frontal forceps; minor forceps",AFQ ; JHU_Tractography ; XTRACT,commissural,False,midline,DHBA:12024; FMA:61944; SCTID:369199005; neuronames:192,"anterior forceps | anterior forceps of the corpus callosum | corpus callosum, anterior forceps | corpus callosum, anterior forceps (Arnold) | corpus callosum, forceps minor | forceps frontalis | forceps minor | forceps minor corporis callosi | forceps minor of corpus callosum | forceps minor of the corpus callosum | frontal forceps",False
callosum forceps major,SNOMED:80049006,UBERON:0034676,fma61949,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,"Forceps major; Occipital radiation of corpus callosum; Posterior forceps; Structure of forceps major; ccs-ma; corpus callosum, forceps major; corpus callosum, posterior forceps (Arnold); forceps major; forceps major corporis callosi; forceps major of corpus callosum; forceps major of the corpus callosum; forceps occipitalis; major forceps; occipital forceps; posterior forceps; posterior forceps of corpus callosum; posterior forceps of the corpus callosum",AFQ ; JHU_Tractography ; XTRACT,commissural,False,midline,DHBA:12025; FMA:61949; SCTID:369201007; neuronames:197,"ccs-ma | corpus callosum, forceps major | corpus callosum, posterior forceps (Arnold) | forceps major corporis callosi | forceps major of corpus callosum | forceps major of the corpus callosum | forceps occipitalis | occipital forceps | posterior forceps | posterior forceps of the corpus callosum",False
tapetum,SNOMED:279312006,UBERON:0000373,fma77208,Callosal fibers from the body and splenium of the corpus callosum that sweep laterally to form the roof and lateral walls of the occipital and temporal horns of the lateral ventricles; lies immediately adjacent to the ependyma of the ventricle.,TAP; tapetum; tapetum corporis callosi,ICBM-DTI-81,commissural,False,bilateral,DHBA:12027; FMA:77208; HBA:265504966; SCTID:279312006; Wikipedia:Tapetum_of_corpus_callosum; neuronames:1596,tapetum corporis callosi,True
anterior thalamic radiation,,UBERON:0034746,fma76976,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,ATR; anterior radiation of thalamus; anterior thalamic radiation; anterior thalamic radiations; athf; radiatio thalami anterior; radiationes thalamicae anteriores,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; XTRACT,projection,False,bilateral,DHBA:12043; FMA:76976; neuronames:1726,anterior thalamic radiation | anterior thalamic radiations | athf | radiationes thalamicae anteriores,no_id_supplied
pontine crossing tract,,UBERON:0022421,,Transverse pontine fibers crossing the midline within the middle cerebellar peduncle; these fibers originate from the pontine nuclei and project to the contralateral cerebellum. In DTI they are identifiable as the decussating component of the MCP and cannot be fully separated from the surrounding peduncle at standard resolution.,PCT; pontocerebellar tract; ponto-cerbellar tract; fibrae pontocerebellaris; pontocerebellar fibers; tractus pontocerebellaris; pontine crossing tract,ICBM-DTI-81,commissural,False,midline,DHBA:12769; SCTID:360457005; Wikipedia:Pontocerebellar_fibers; neuronames:1345; HBA:265505470,pncb,no_id_supplied
acoustic radiation,SNOMED:410726006,UBERON:0022262,fma62413,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,Acoustic radiations; Acoustic radiations structure; Auditory radiations; Fibrae geniculotemporales; Geniculotemporal tract; Radiatio acustica; auditory radiation; acoustic radiation; geniculotemporal radiation; geniculotemporal tract; radiatio acustica,TRACULA ; MGH_HCP ; XTRACT,association,False,bilateral,DHBA:266441583; FMA:62413; HBA:265504974; neuronames:2084; Wikipedia:Acoustic_radiation,auditory radiation | auditory radiations,False
accumbofrontal tract,,,,connection of the orbitofrontal cortex (OFC) to the nucleus accumbens (NAcc),,,,,,,,
arcuate fasciculus,SNOMED:727100000,UBERON:0035937,fma276650,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,AF; AR; ARF; arcuate fascicle; arcuate fasciculus; cerebral arcuate fasciculus; fasciculus arcuatus; fibrae arcuatae cerebri,AFQ ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,DHBA:10569; FMA:276650; HBA:9231; neuronames:2063; Wikipedia:Arcuate_fasciculus,AF | arcuate fascicle | arcuate fasciculus | ARF | fibrae arcuatae cerebri,False
posterior arcuate fasciculus,,,,The posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule,pArc,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,,,
cingulum bundle dorsal,,,,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,CBD,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT,association,False,bilateral,,,
cingulum bundle ventral,,,,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,CBV,TRACULA ; MGH_HCP ; Bullock_2022,association,False,bilateral,,,
cingulum cingulate,,,,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,CCg,AFQ ; ICBM-DTI-81 ; Bullock_2022,association,False,bilateral,,,
cingulum hippocampus,,,,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,CHippo,AFQ ; ICBM-DTI-81 ; Bullock_2022,association,False,bilateral,,,
cingulum subgenual,,,,"The ventral-most component of the cingulum bundle curving around the genu of the corpus callosum and extending posteriorly against the subgenual cingulate cortex; carries fibers connecting orbitofrontal and subgenual cingulate cortex with the amygdala, hippocampus and thalamus. A primary target of deep brain stimulation for treatment-resistant major depressive disorder (Mayberg subcallosal cingulate target). Described as a distinct subdivision by Heilbronner and Haber (2014) and Bullock et al. (2022).",CBS; SCB,Bullock_2022,association,False,bilateral,,,
cingulum periGenual,,,,The peri-genual subsection of the cingulum bundle curving around the genu of the corpus callosum; connects the subgenual and anterior cingulate cortex with the orbitofrontal cortex and anterior thalamic nuclei. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Overlaps anatomically with the subgenual cingulum; XTRACT defines the boundary by waypoint ROIs at the level of the genu.,CBP,XTRACT,association,False,bilateral,,,
cingulum temporal,,,,"The temporal subsection of the cingulum bundle running along the parahippocampal gyrus into the temporal lobe; connects posterior cingulate and retrosplenial cortex with the temporal pole, entorhinal cortex, and perirhinal cortex. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Distinguished from the ventral/hippocampal cingulum by its more anterior temporal termination pattern.",CBT,XTRACT,association,False,bilateral,,,
corpus callosum anterior midbody,,,,Anterior portion of the corpus callosum body at the level of the primary motor cortex,CC_4,TractSeg,commissural,False,midline,,,
corpus callosum body,SNOMED:279307005,UBERON:0015510,fma61947,"The central, largest portion of the corpus callosum between the genu and splenium; fibers pass laterally through the corona radiata to connect frontal, parietal and temporal cortices of the two hemispheres",BCC; CC-BODY; corpus callosum body; truncus corporis callosi,ICBM-DTI-81,commissural,True,midline,DHBA:10564; FMA:61947; HBA:9224; NCIT:C32216; NeuroNamesCNID:177; SCTID:279307005; UMLS:C0152320; neuronames:195,"body of corpus callosum | body of the corpus callosum | corpus callosum truncus | corpus callosum, body | corpus callosum, corpus | trunculus corporis callosi | truncus corpus callosi | trunk of corpus callosum",True
corpus callosum body central,,,,Central segment of the corpus callosum body,CC-BODY-C,TRACULA ; ICBM-DTI-81 ; MGH_HCP,commissural,False,midline,,,
corpus callosum body parietal,,,,Parietal segment of the corpus callosum body,CC-BODY-P,TRACULA ; MGH_HCP,commissural,False,midline,,,
corpus callosum body prefrontal,,,,Prefrontal segment of the corpus callosum body,CC-BODY-PF,TRACULA ; MGH_HCP,commissural,False,midline,,,
corpus callosum body premotor,,,,Premotor segment of the corpus callosum body,CC-BODY-PM,TRACULA ; MGH_HCP,commissural,False,midline,,,
corpus callosum body temporal,,,,Temporal segment of the corpus callosum body,CC-BODY-T,TRACULA ; MGH_HCP,commissural,False,midline,,,
corpus callosum genu,SNOMED:279310003,UBERON:0015599,fma61946,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",Entire genu of corpus callosum; corpus callosum genu,TractSeg ; ICBM-DTI-81 ; MGH_HCP,commissural,False,midline,DHBA:10563; FMA:61946; HBA:9223; MBA:1108; NCIT:C32675; neuronames:194; NeuroNamesCNID:176; NLX:144462; SCTID:279310003; UMLS:C0152321; Wikipedia:Genu_of_the_corpus_callosum,"corpus callosum, genu | genu | genu corporis callosi | genu corpus callosi | genu of corpus callosum | genu of the corpus callosum | rostrum of corpus callosum (Mai)",True
corpus callosum isthmus,,UBERON:0009835,,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,CC_6,TractSeg,commissural,False,midline,BIRNLEX:936; BTO:0004249; FMA:271599; Wikipedia:Anterior_cingulate_cortex,ACC,no_id_supplied
corpus callosum posterior midbody,,,,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,CC_5,TractSeg,commissural,False,midline,,,
corpus callosum rostral body,,,,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,CC_3,TractSeg,commissural,False,midline,,,
corpus callosum rostrum,SNOMED:279311004,UBERON:0015703,fma61945,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,CC_1,TractSeg ; MGH_HCP,commissural,False,midline,DHBA:10562; FMA:61945; HBA:9226; MBA:979; NCIT:C33496; neuronames:193; NeuroNamesCNID:175; SCTID:279311004; UMLS:C0152322; Wikipedia:Rostrum_of_corpus_callosum,"corpus callosum rostrum | corpus callosum, rostrum | rostrum | rostrum corporis callosi | rostrum corpus callosi | rostrum of corpus callosum | rostrum of the corpus callosum",True
corpus callosum splenium,SNOMED:369085008,UBERON:0022430,fma61948,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,CC_7; cingulum (Ammon's horn); cingulum (hippocampus); cingulum bundle in hippocampus,TractSeg ; ICBM-DTI-81 ; MGH_HCP,commissural,False,midline,,,False
Radiation of corpus callosum,SNOMED:279308000,UBERON:0035924,fma77693,The spreading out of the fibers of the corpus callosum in the centrum semiovale of each cerebral hemisphere.,corpus callosum radiation; radiatio corporis callosi,,,,,DHBA:12026; FMA:77693; HBA:265504962; neuronames:1336; SCTID:279308000,CCRD | radiatio corporis callosi | radiations of corpus callosum | radiations of the corpus callosum,True
corticopontine tract,SNOMED:362408003,UBERON:0022271,fma224856,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,CPT; FPT; cortico-pontine fibers; corticopontine fibers; tractus corticopontinus; fibrae corticopontinae; cortico-pontine fibers | cortico-pontine fibers; pontine part | corticopontine fibers | corticopontine fibers of pons | corticopontine fibers set | corticopontine fibres | fibrae corticopontinae | tractus corticopontinus,DSI_Studio ; Bullock_2022,projection,False,bilateral,DHBA:266441721; FMA:75190; HBA:265505490; neuronames:1322; SCTID:91366009; Wikipedia:Corticopontine_fibers,corticopontine | corticopontine fibres,False
corticostriatal tract,,,,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",CStr,DSI_Studio,projection,False,bilateral,,,
dentato-rubro-thalamic tract,SNOMED:1296813009,UBERON:0002594,fma72462,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,DRTT; tractus dentatothalamicus; dentatothalamic fibers; dentatothalamic tract; DT,DSI_Studio ; MGH_HCP,cerebellar,False,bilateral,BAMS:dt; BIRNLEX:1104; DHBA:12357; FMA:72462; neuronames:534; UMLS:C0175411; Wikipedia:Dentatothalamic_tract,tractus dentatothalamicus,False
fornix,SNOMED:87463005,UBERON:0000022,UBERON:0000052,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",FX,TractSeg ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,limbic_subcortical,False,mixed,BTO:0000447; EFO:0000955; GAID:1214; MAT:0000156; MESH:D005241; SCTID:410027006; Wikipedia:Feather,,False
fornix cres stria terminalis,,,,A ICBM-DTI-81 atlas label covering fibers of the fimbria-fornix and stria terminalis that cannot be resolved as separate structures at standard DTI resolution. The stria terminalis runs along the medial aspect of the caudate nucleus carrying amygdalofugal fibers to the hypothalamus and bed nucleus of the stria terminalis. Labeled as a combined entry in ICBM-DTI-81 because both structures share the same spatial volume at 1-2mm isotropic resolution.,FX/ST; ST,ICBM-DTI-81,association,True,bilateral,,,
frontal aslant tract,,,,"Short frontal association tract connecting the supplementary motor area complex (SMA, pre-SMA) and lateral superior frontal gyrus to the pars opercularis and pars triangularis of the inferior frontal gyrus and the anterior insula (middle insular area); runs in an oblique aslant orientation within the frontal lobe, medial to SLF II and lateral to the frontostriatal tract. Involved in speech initiation and inhibition, verbal fluency, lexical decision, working memory, visuo-motor integration, and inhibitory motor control. Left-lateralized in most right-handed adults. Insula termination via the salience network node at the fronto-insular cortex established by La Corte et al. 2021 (PMC7959833).",FAT,TRACULA ; MGH_HCP ; XTRACT ; La_Corte_2021_PMC7959833,association,False,bilateral,,,
fronto-pontine tract,SNOMED:1296815002,,fma75223,,FPT,TractSeg ; MGH_HCP ; Bullock_2022,projection,False,bilateral,,,
inferior fronto-occipital fasciculus,SNOMED:369087000,UBERON:0034753,fma77633,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,IFO; IFOF; inferior occipitofrontal fasciculus,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,DHBA:12070; FMA:77633; neuronames:1442; SCTID:369087000,fasciculus occipito-frontalis inferior | fasciculus occipitofrontalis inferior | inferior fronto-occipital fasciculus | inferior occipitofrontal fasciculus,True
anterior limb of internal capsule,SNOMED:3003007,UBERON:0014526,fma61952,"The anterior subdivision of the internal capsule lying between the head of the caudate nucleus and the anterior lentiform nucleus; carries frontopontine fibers, corticostriatal fibers, and the anterior thalamic radiation connecting mediodorsal and anterior thalamic nuclei with prefrontal and anterior cingulate cortex. A major target for deep brain stimulation and capsulotomy in treatment-resistant OCD and depression.",ALIC; capsula interna; pars anterior | crus anterius capsulae internae,ICBM-DTI-81 ; Bullock_2022,projection,False,bilateral,BAMS:aic; DHBA:10582; FMA:61952; neuronames:199; NLX:144257; SCTID:279295005; Wikipedia:Anterior_limb_of_internal_capsule,anterior internal capsule | anterior limb,False
posterior limb of internal capsule,SNOMED:54728004,UBERON:0014527,fma61954,"The posterior subdivision of the internal capsule lying between the thalamus and the posterior lentiform nucleus; carries the corticospinal and corticobulbar tracts, superior thalamic radiation, and parietopontine and temporopontine fibers. Damage produces contralateral hemiplegia; the posterior limb is the most clinically critical segment of the internal capsule.",PLIC; capsula interna; pars posterior | crus posterius capsulae internae,ICBM-DTI-81 ; Bullock_2022,projection,False,bilateral,BAMS:pic; DHBA:10584; FMA:61954; neuronames:201; NLX:144258; SCTID:279296006; Wikipedia:Posterior_limb_of_internal_capsule,posterior internal capsule | posterior limb | posterior limb of the internal capsule,False
retrolenticular part of internal capsule,,UBERON:0034749,fma61957,"The portion of the internal capsule posterior to the lentiform nucleus; carries the posterior thalamic radiation including the optic radiation from the lateral geniculate nucleus, and parietopontine and occipito-pontine fibers. Damage produces contralateral hemianopia.",RLIC; pars retrolentiformis; postlenticular portion of internal capsule; retrolenticular limb; retrolentiform limb,ICBM-DTI-81,projection,False,bilateral,DHBA:12052; FMA:61957; neuronames:203; SCTID:362363008,pars retrolenticularis capsulae internae | pars retrolentiformis (capsulae internae) | postlenticular portion of internal capsule | retrolenticular part of internal capsule | retrolenticular part of the internal capsule,no_id_supplied
medial forebrain bundle,,UBERON:0001910,fma62064,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",medial forebrain fasciculus; telencephalic medial fasciculus; MFB,Bullock_2022,limbic_subcortical,False,bilateral,BAMS:mfb; BIRNLEX:908; DHBA:10587; FMA:62064; GAID:736; HBA:265505190; MBA:54; MESH:D008474; NCIT:C13083; neuronames:433; TAO:0005111; UMLS:C0025055; Wikipedia:Medial_forebrain_bundle; ZFA:0005111,fasciculus longitudinalis telencephali medialis | fasciculus medialis telencephali | fasciculus medialis telencephalicus | fasciculus prosencephalicus medialis | medial forebrain bundles | median forebrain bundle,no_id_supplied
medial lemniscus,SNOMED:30114003,UBERON:0003002,fma83675,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,Lemniscus medialis; Medial lemniscus; Medial lemniscus structure,DSI_Studio ; ICBM-DTI-81,brainstem_intrinsic,False,bilateral,BAMS:MEL; BAMS:ml; BIRNLEX:887; BM:LM; DHBA:12763; DMBA:17776; FMA:83675; HBA:12961; MBA:697; neuronames:1583; SCTID:362398006; Wikipedia:Medial_lemniscus,lemniscus medialis | Reil's band | Reil's ribbon,False
cerebral crus,,UBERON:0002631,fma72464,"anterior, superficial portion of the cerebral peduncle located in the midbrain. It consists entirely of white matter tracts descending from the cerebral cortex",crus cerebri; crura cerebri; base of cerebral peduncle; cerebral peduncle (clinical definition); CCR,,,,,BAMS:cp; BIRNLEX:1218; BTO:0004677; EMAPA:37499; EV:0100243; FMA:72464; MA:0001056; MESH:D065843; NCIT:C32409; neuronames:539; UMLS:C0175414; Wikipedia:Cerebral_crus,"base of cerebral peduncle | basis cerebri (Oertel) | basis pedunculi (Oertel) | basis pedunculi cerebri (Willis) | cerebral peduncle, basal part | crus cerebri | crus of the cerebral peduncle | pars neo-encephalica pedunculi | pedunculus cerebri, pars basalis | pes pedunculi | pes pedunculi of midbrain",no_id_supplied
